drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Naaval nei ,Agathiyar,Pisin ,Bombax malabaricum,Diab/ TB ,"Sweet , Astringent",Cold ,Sweet,"Kulirchiyundaki,ullalalatri"
Naaval nei ,Agathiyar,Fruit,Phonex dactilifera,Diab/ TB ,Sweet,Hot,Spicy ,"Uramaki,Udaluramaki,Ullalalatri,Malamilaki,Siruneerperuki"
Naaval nei ,Agathiyar,Stem,Santalum album,Diab/ TB ,"Bitter , mildAstringent ",Cold ,"Sweet, spicy","Udalthetri,Siruneerperuki,Viyarvaiperuki,Vepammundaki,Alugalagatri,Thuvarpi,Kulirchiyundaki"
Naaval nei ,Agathiyar,flower,Mesua nagassarium,Diab/ TB ,"mildBitter , Astringent",Cold ,Spicy ,"Thuvarpi,Agatuvaiyagatri"
Naaval nei ,Agathiyar,Flower,Eicus racemosa,Diab/ TB ,Astringent ,Cold ,Sweet,Thuvarpi
Naaval nei ,Agathiyar,fruit unripe,Punica granatum,Diab/ TB ,null,null,null,"pothu-thuvarpi,kuruthiperukadaki"
Naaval nei ,Agathiyar,,Curculigo orchioides,Diab/ TB ,sweet,Cold ,Sweet,"uramaki,siruneerperuki,thuvarpi,agatuvaiagatri,varatchiyagatri"
Naaval nei ,Agathiyar,,Embelia ribes,Diab/ TB ,Bitter,Hot,Spicy ,"pulukolli,agatuvaiagatri,pasithithundi,veppamundaki"
Naaval nei ,Agathiyar,,Aristolochia bracteolata,Diab/ TB ,Bitter (kumatal),Hot,Spicy ,"Pulukoli,Soothagamundaki,Vepammundaki,Uramaki,Neermalampoki,Udalthetri,Muraivepagatri"
Kandathi legyam ,Agathiyar,Rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Kandathi legyam ,Agathiyar,,Syzygium aromaticum,Tuberculosis ,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Kandathi legyam ,Agathiyar,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Kandathi legyam ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Kandathi legyam ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Kandathi legyam ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Kandathi legyam ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Kandathi legyam ,Agathiyar,,Glycyrrhiza glabra,Tuberculosis ,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Kandathi legyam ,Agathiyar,,Alpinia galanga,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyakatri,Vepagatri,Pasitheethundi"
Kandathi legyam ,Agathiyar,,Piper longum ,Tuberculosis ,sweet,Cold ,Sweet,pasithithundi
Kandathi legyam ,Agathiyar,,Picrorhiza scrophulariiflora,Tuberculosis ,"Bitter , Pungent ",Hot,Spicy ,"Muraivepagatri,Perungalichalundaki,Pasitheethundi,Kudalpuluagatri"
Kandathi legyam ,Agathiyar,,Saccharum officinarum,Tuberculosis ,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Kandathi legyam ,Agathiyar,,Nei ,Tuberculosis ,null,null,null,null
Kandathi legyam ,Agathiyar,,Honey ,Tuberculosis ,null,null,null,null
Kandathi legyam ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Kandathi legyam ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Kandathi legyam ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Kandathi legyam ,Agathiyar,,Alpinia galanga,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyakatri,Vepagatri,Pasitheethundi"
Kandathi legyam ,Agathiyar,,Anacyclus pyrethrum,Tuberculosis ,Pungent ,Hot,Spicy ,"Vepammundaki,Umilneerperuki,Thadipundaki"
